Pl.;Dos;;Nom;Club;Sx;Cat;Par cat.;Sous Dine;Landron;Pré Arrivée;Temps;Ecart;Moy
92;2624;FRA;SERAIN Nicolas / JOMARD Stéphanie;;Mixte;MX;44;02:34:42;03:08:21;04:06:10;04:08:41;+01:55:48;5,1
93;2610;FRA;BRANCHE Armelle / SALAUN Pierrick;;Mixte;MX;45;02:28:02;03:06:26;04:06:41;04:09:32;+01:56:39;5
94;2604;FRA;REMBAUD Stephane / REMBAUD Melanie;;Mixte;MX;46;02:31:03;03:04:38;04:06:56;04:09:56;+01:57:03;5
95;2502;FRA;ISARD Laure / LACROIX Anne;;Femme;FEM;23;02:39:50;03:12:47;04:07:29;04:10:12;+01:57:19;5
96;2634;FRA;L. M. /. B. L.;;Mixte;MX;47;02:26:53;03:03:03;04:07:59;04:10:40;+01:57:47;5
97;2501;FRA;PHILIPPE BORIBOUN Aurélie / ALLIZARD Franck;;Mixte;MX;48;02:25:35;03:02:21;04:10:09;04:12:38;+01:59:45;5
98;2521;FRA;FAVRE Xavier / FAVRE Céline;;Mixte;MX;49;02:30:09;03:07:33;04:10:33;04:13:25;+02:00:32;5
99;2525;FRA;BREBANT Jean Marc / LEBRETON Yves;;Homme;HOM;27;02:30:07;03:12:26;04:11:45;04:14:26;+02:01:33;5
100;2589;FRA;QUINQUIS Marine / DA COSTA Laura;;Femme;FEM;24;02:39:41;03:11:59;04:11:54;04:14:30;+02:01:37;5
101;2524;BRA;TAVERNIER Charline / COELHO DE MARIA Laura;ANNECY ATHLÉTISME;Femme;FEM;25;02:21:41;02:58:59;04:12:24;04:15:17;+02:02:24;4,9
102;2507;FRA;CALEIRO Lætitia / THEOPHILE Laurent;;Mixte;MX;50;02:39:37;03:09:36;04:12:10;04:15:24;+02:02:31;4,9
103;2580;FRA;RAVETTA Judith / RAVETTA Antoine;;Mixte;MX;51;02:34:17;03:06:20;04:13:17;04:16:21;+02:03:28;4,9
104;2575;FRA;G. E. /. H. J.;;Mixte;MX;52;02:34:58;03:11:21;04:14:34;04:17:12;+02:04:19;4,9
105;2570;GBR;OBOZIAN Nelly / WINDER Caroline;;Femme;FEM;26;02:42:33;03:14:48;04:15:03;04:18:08;+02:05:15;4,9
106;2533;FRA;KIRSCHENBILDER Romain / ROUCHON Grégory;;Homme;HOM;28;02:34:49;03:07:39;04:18:01;04:21:10;+02:08:17;4,8
